# Estimated Coulombstress in Roof region of gallery in Morsleben (from Dirk Becker) (see Dahm, 2022, fig 7)
# Coulombstress_in_Pa   day_since_filling
1885308.95  43.021
1899094.43  43.062
1913625.18  43.104
1926223.45  43.146
1934988.84  43.188
1943383.64  43.229
1951284.31  43.271
1957532.08  43.312
1960968.16  43.354
1960823.48  43.396
1958233.22  43.438
1953870.79  43.479
1948291.87  43.521
1942052.14  43.562
1933024.91  43.604
1917644.57  43.646
1900404.63  43.688
1886103.18  43.729
1879538.34  43.771
1880047.14  43.812
1881811.90  43.854
1884595.85  43.896
1888204.50  43.938
1892467.23  43.979
1902455.50  44.021
1919218.37  44.062
1938555.16  44.104
1956265.17  44.146
1968396.60  44.188
1978326.02  44.229
1987317.76  44.271
1993749.28  44.312
1995962.28  44.354
1985599.09  44.396
1964489.06  44.438
1943256.43  44.479
1932525.44  44.521
1931466.96  44.562
1930949.20  44.604
1930462.16  44.646
1929500.85  44.688
1918780.42  44.729
1892755.73  44.771
1864911.31  44.812
1848907.31  44.854
1851284.85  44.896
1861706.47  44.938
1876641.09  44.979
1892915.66  45.021
1909431.93  45.062
1929533.77  45.104
1951664.64  45.146
1973925.00  45.188
1994887.81  45.229
2015503.60  45.271
2036310.86  45.312
2057718.52  45.354
2080081.14  45.396
2103358.22  45.438
2127532.34  45.479
2152962.02  45.521
2179520.92  45.562
2206204.45  45.604
2232932.46  45.646
2259323.98  45.688
2285280.32  45.729
2312304.98  45.771
2340252.16  45.812
2367820.94  45.854
2395246.15  45.896
2422921.29  45.938
2451563.08  45.979
2479676.12  46.021
2506818.14  46.062
2533524.70  46.104
2560158.36  46.146
2586314.68  46.188
2611475.93  46.229
2635204.38  46.271
2658038.55  46.312
2680891.80  46.354
2704552.55  46.396
2728780.44  46.438
2752901.38  46.479
2776270.07  46.521
2798945.33  46.562
2821161.57  46.604
2843004.51  46.646
2864666.74  46.688
2886527.20  46.729
2908344.77  46.771
2929815.31  46.812
2950634.66  46.854
2970498.66  46.896
2989104.37  46.938
3008474.69  46.979
3029364.43  47.021
3049893.86  47.062
3068183.24  47.104
3082352.82  47.146
3090522.87  47.188
3091771.75  47.229
3091711.09  47.271
3091585.88  47.312
